title,mediaType,eps,duration,ongoing,sznOfRelease,description,studios,tags,contentWarn,watched,watching,wantWatch,dropped,rating,votes
Ah! My Goddess TV,TV,24,,No,Winter,"Morisato Keiichi has always had bad luck. No matter what he does or how he acts, nothing seems to go his way. His bike frequently breaks down, his classmates take advantage of him, women ignore and scorn him, and on top of all that, he’s only 5'3"". In Heaven, when someone’s bad luck and good luck are so heavily out of balance, Belldandy (Goddess First Class, Second Category, Unlimited) of the Goddess Assistance Agency comes to the rescue. Belldandy grants Keiichi one wish to make up for all of his bad luck, but when Keiichi wishes for Belldandy to stay by his side forever... the trouble begins. Can Keiichi keep Belldandy by his side, or will outside elements force her to return to heaven?",['AIC'],"['Comedy', 'Fantasy', 'Romance', 'Seinen', 'Contemporary Fantasy', 'God-Human Relationship', 'Gods', 'Interspecies Relationship', 'Magic', 'Non-Human Protagonists', 'Sudden Girlfriend Appearance', 'Based on a Manga']",[],22464,1073,5554,1433,3.896,15898
Lupin III Special 28: Prison of the Past,TV Special,1,,No,,"The special will focus on Lupin's gang infiltrating the Kingdom of Doruente in order to rescue a famous gentleman thief from imprisonment. Meanwhile, the best thieves from around the world converge on the country.",['TMS Entertainment'],"['Action', 'Seinen', 'Criminals', 'Based on a Manga']",[],69,3,113,2,3.896,45
To Love Ru OVA,OVA,6,,No,,"At Sainan High School, it's rare for a day to pass without the conversation turning to breasts. Today is no exception, and Lala - ever eager to win Rito's affections - is inspired to invent a device which will allow her to change the size of her chest to match his preference. However, the device goes horribly wrong and ends up turning the hapless Rito into a woman! Ogled and pursued by men, cared for and tolerated by women, Rito soon discovers the ups - and downs - of life as a girl.",['XEBEC'],"['Comedy', 'Ecchi', 'Harem', 'Romance', 'Sci Fi', 'Shounen', 'Slice of Life', 'Aliens', 'Gender Bender', 'Love Triangle', 'Panty Shots', 'Based on a Manga']",['Nudity'],13166,1007,3415,201,3.894,9035
Robotics;Notes,TV,22,,No,Fall,"In the year 2019, the Robotics Club of Central Tanegashima High School has only one goal in mind: to create a working replica of the giant anime robot Gunvarrel! But doing so isn’t easy as the club only has two members: Aki, who took over the project from her now-graduated sister; and Kai, a lazy gamer who’d rather be elsewhere. What’s worse, the school’s vice principal has decided their club is a waste of school funds and plans to shut them down! Now, the duo must convince her otherwise by winning a fighting robot tournament and gaining new, machine-savvy members, but when Kai accidentally stumbles upon an unbelievable conspiracy, the Robotics Club becomes the least of his concerns...",['Production I.G'],"['Action', 'Mystery', 'Conspiracy', 'noitaminA', 'Robots', 'School Club', 'School Life', 'Based on a Visual Novel']",[],7119,1050,4135,567,3.894,6206
Black Clover: Petit Clover Advance,DVD Special,4,6,Yes,,,[],"['Comedy', 'Chibi']",[],,63,105,5,3.894,31
.hack//Quantum,OVA,3,,No,,"Tobias, Mary, and Sakuya are way into the The World. Together, they form an inseparable group, grinding toward the break of day and running dungeons in search of the artifacts of adventure. But when the trio becomes lost in this virtual labyrinth, a chance encounter with the mysterious entity known only as Hermit will change their lives forever.",['Kinema Citrus'],"['Action', 'Mystery', 'Sci Fi', 'Dungeon', 'MMORPG']",[],4751,218,2489,64,3.894,2958
Digimon Adventure Tri. Movie 6: Future,Movie,1,,No,,Part 6 of the Digimon Adventure Tri. movie series.,['Toei Animation'],"['Action', 'Drama', 'Sci Fi', 'Monsters']",[],1325,35,1690,6,3.893,853
Amagami SS,TV,25,,No,Summer,"After being stood up during a date on Christmas Eve, Junichi’s confidence took a critical nosedive. Two years later, he’s now a second year high school student and ready to give love another chance. Will he fall for the beautiful and popular Morishima, mischievous childhood friend Kaoru, shy and timid underclassman Sae, dependable class president Tsukasa, hardworking underclassman Ai or his gluttonous childhood friend Rihoko? Only time will tell, but one thing’s for sure: Junichi is determined to make his next Christmas Eve date a successful one!",['AIC'],"['Romance', 'School Life', 'Based on a Visual Novel']",[],14004,1825,6405,1414,3.892,11681
Bureau of Proto Society,Web,1,8,No,,"In the far distant future… Humans are living in the underground shelters under the complete controlled situation.""Why has the world gone to ruin, and what have made humans stay in the shelters?"" Every day the members of BUREAU OF PROT SOCIETY debate the cause of the fall of the world from the past documentary videos... probably.","['Studio Trigger', 'Studio Rikka']","['Sci Fi', '""Japan Animators Exhibition""', 'Shorts']",[],573,46,405,23,3.892,464
Nanbaka,TV,13,,No,Fall,"Four men are assigned to Nanba, the world’s most formidable prison. Juugo, a man who attempted to break out of prison and ended up extending his jail time; Uno, a man who likes to gamble with women; Rock, a man who likes to get into fights; and Nico, a man who likes anime. A super exciting action comedy about the daily lives of the prison’s inmates and guards.",['Satelight'],"['Action', 'Comedy', 'Island', 'Prison', 'Based on a Manga']",[],8021,1725,3857,1070,3.891,6317
Uta no Prince-sama: Maji Love 2000%,TV,13,,No,Spring,"The STARISH sextet is finding success as their careers are put on the fast track! But before they can call themselves true idols, they must win an award...the mysterious ""Newcomer Award."" Now Nanami and STARISH are facing their toughest challenge yet as they put their talents to the test! And when the six main members of STARISH are taken under the wings of the seniors, their less-than-thrilled upperclassmen will show them what it really takes to become idols.",['A-1 Pictures'],"['Reverse Harem', 'Shoujo', 'Music', 'Music School', 'School Life', 'Based on an Otome Game', 'Based on a Visual Novel']",[],8186,738,2636,381,3.892,5735
